pitchid,pitcherid,yearid,height,initspeed,breakx,breakz,initposx,initposz,extension,spinrate
10648,3,3,77,84.45622808,4.153646417,9.338818699,4.056353248,6.486289371,6.166050603,2257.153203
10649,1,3,76,88.21979885,-7.082678588,3.091778667,-2.218358613,5.997976602,6.527265028,2200.836684
10650,1,3,76,86.3514688,-7.998645642,3.875419691,-2.346287217,5.919789664,6.350896156,2227.855798
10651,4,3,72,93.30987921,-2.800042406,8.270781401,-1.850865489,5.886582641,6.044787441,2188.735352
10652,3,3,77,85.28415341,9.411611838,7.600999017,4.218555293,6.536227354,6.219090462,2102.098895
10653,1,3,76,80.98150323,-5.795485559,-3.326210226,-1.68192371,6.253889472,6.298365679,1592.809616
10654,5,3,72,90.10887361,-1.048219778,10.02685657,-1.212881299,6.006954214,6.40843633,1839.457185
10655,5,3,72,92.42354259,-4.103075696,12.33494107,-1.093043319,6.078445179,6.42315457,2160.673844
10656,2,3,80,88.81501372,-4.834449373,6.396805548,-1.999122197,5.728878952,6.432251321,2055.497858
10657,5,3,72,88.83242189,-10.25122158,6.075506252,-2.2242814,5.642007324,6.07800642,1911.231768
10658,1,3,76,75.16885924,4.235340351,-10.06633882,-1.634012061,6.574773489,5.933238936,3052.337909
10659,2,3,80,87.70428468,0.018299096,9.285135171,-1.925302842,5.926563024,6.336210226,2082.608419
10660,1,3,76,75.80321436,3.510156239,-7.155200278,-2.052392365,6.213792439,6.455756212,2975.893999
10661,2,3,80,73.44117772,-0.129695435,-5.851456895,-2.470471133,5.904404899,6.223627243,2354.503696
10662,2,3,80,77.98678592,3.145023248,-3.036654994,-2.135830091,5.759114691,6.172392474,2392.040253
10663,6,3,73,77.71026759,-1.38197296,-2.718599039,1.968589024,5.987102245,6.284063609,2262.263907
10664,2,3,80,80.4565228,-2.967494268,5.642023433,-2.108124495,5.967210847,6.30136745,1621.251042
10665,4,3,72,92.01398451,-5.443524352,8.782918649,-2.311212116,5.742481851,5.802648277,2296.093111
10666,1,3,76,87.33365095,-8.025553119,4.595606318,-2.32538224,6.460427028,5.830725002,2164.079836
10667,5,3,72,89.77985615,-6.920387903,6.951857587,-1.229785998,5.864564934,6.366193577,1882.879924
10668,4,3,72,80.65859998,3.27339031,-6.166501272,-1.811761808,5.86352382,6.142132059,2591.968459
10669,5,3,72,88.40876412,4.030391709,3.408723184,-1.459423232,5.782356558,6.162400587,2162.115011
10670,3,3,77,84.27745188,10.85029773,4.683982526,4.294522269,6.434375533,6.479275142,1953.57221
10671,2,3,80,87.12843209,-0.713677291,7.476906288,-2.146271214,5.562282071,6.019202527,2149.1086
10672,3,3,77,84.89734873,10.66888275,8.733179722,3.947438219,6.534888075,6.198899837,1836.77693
10673,5,3,72,89.51463909,-4.979822606,9.367794557,-1.507719787,5.953841627,6.349598527,2020.567128
10674,4,3,72,85.95741024,-6.742649595,6.257851872,-1.913641313,5.78532146,5.998005603,1609.883763
10675,3,3,77,86.22712502,10.95260194,8.07201103,4.236821267,6.557151976,6.235263936,2035.636281
10676,6,3,73,91.73764166,3.615537973,12.69429094,2.170393505,6.20620694,5.746746481,2052.525326
10677,2,3,80,88.94965778,-1.440162841,9.991309235,-2.260023973,6.186922839,5.843570322,2271.172433
10678,2,3,80,88.21326399,-8.905311948,8.713511205,-1.972972029,5.831687535,6.373742468,2439.287059
10679,3,3,77,81.42494362,-0.719470629,4.372815841,4.154667452,6.356831086,6.397216057,2126.649679
10680,5,3,72,90.69640016,-6.00223898,4.06457442,-1.324793223,5.667535607,6.232160225,1838.232136
10681,1,3,76,80.37080883,-2.226347074,1.325293845,-1.945996527,6.194774619,6.548403691,1477.200556
10682,4,3,72,81.48931023,3.74918698,-2.228882,-1.774192895,5.942280356,5.945738423,2600.804763
10683,1,3,76,80.38520465,-5.527946814,0.118753505,-1.579810578,6.105667581,6.197592475,1584.056994
10684,2,3,80,81.35630885,-5.506405443,3.387957471,-2.816922207,5.481799086,6.296926157,1462.737792
10685,3,3,77,87.93946253,6.900576951,10.18068605,4.163716374,6.498403995,6.272239762,2217.643672
10686,3,3,77,85.80508505,8.76880876,4.734791016,4.128207338,6.422934778,6.315479123,1800.13154
10687,3,3,77,85.73912012,9.463116568,6.624443626,4.039842508,6.473518948,6.149132648,2025.854988
10688,6,3,73,76.17881323,-7.043928173,-2.517269507,2.242597587,5.883446248,6.108420599,2167.203787
10689,3,3,77,87.19526981,2.436532063,8.560373755,4.233729322,6.583388987,5.963959227,2078.970712
10690,4,3,72,78.43370904,3.059669103,-5.327629014,-2.034321112,5.829913849,6.312154953,2747.029618
10691,2,3,80,87.08385222,-1.103276252,5.505868582,-1.901469348,5.695643733,6.340827745,1929.149484
10692,3,3,77,86.07019334,2.866382351,10.62417813,4.019105784,6.529566502,6.507324659,2012.27436
10693,3,3,77,86.82967936,2.999544944,10.36207459,4.016125228,6.538846144,5.912180664,2212.550046
10694,3,3,77,83.23864898,1.603157705,4.043517741,4.227088971,6.470339087,6.56930714,2154.205237
10695,2,3,80,80.59238542,-1.672768608,1.75418501,-2.186764997,5.785430767,6.16425948,1516.817919
10696,2,3,80,85.8387722,-5.443795519,7.58147796,-2.944102452,5.600289435,6.147670884,2441.493679
10697,6,3,73,75.87777791,-1.578268516,0.947368873,2.005850544,6.031361074,6.239782515,2162.467091
10698,6,3,73,92.57176015,4.352553423,10.12511998,2.249504487,5.924939004,6.299944465,2041.976157
10699,2,3,80,82.30447084,-3.4956798,5.73892215,-2.398873928,5.64443631,6.425377253,1349.167214
10700,2,3,80,88.31690365,-4.41041431,7.514236043,-2.462797792,5.724509945,6.14328149,2222.673984
10701,2,3,80,68.17842638,8.164907417,-9.865095118,-2.36133184,5.477368102,6.500880324,2618.527255
10702,1,3,76,74.93480364,6.879616328,-4.109361309,-2.097695232,6.371317249,5.95737661,2810.005438
10703,1,3,76,81.66494983,-7.849891413,2.728082879,-1.956108737,6.431691982,6.218884129,1405.911214
10704,1,3,76,87.47909821,-6.775613799,5.314397022,-2.047950422,6.286783818,6.002960662,2348.256876
10705,3,3,77,87.02906418,7.231704807,8.604991801,4.349097691,6.426830723,6.17271374,2241.334234
10706,1,3,76,89.51043595,-9.442864376,1.813260666,-1.937463235,6.303808874,6.210982119,2201.98919
10707,2,3,80,86.89843306,-8.279128583,7.039520104,-2.464357246,5.748141456,5.989714424,1952.737426
10708,2,3,80,87.88500094,-7.852876928,7.247861978,-1.922837607,5.848439647,6.330194431,2053.936406
10709,2,3,80,75.25266853,5.395401766,-4.065883563,-2.286225311,5.908834983,6.543692941,2538.721681
10710,1,3,76,83.67256569,-0.052694389,2.330753358,-1.889419614,6.502738982,6.252635984,2298.816774
10711,1,3,76,89.67068208,-8.536415076,3.871724491,-1.779540383,6.224033562,5.840637061,2282.820922
10712,2,3,80,86.34062048,-1.931541361,10.32189316,-2.158827518,5.953401851,6.626187419,2215.398771
10713,5,3,72,90.41012659,-7.014742484,6.448493947,-1.82701905,5.721072223,6.097360873,1849.2176
10714,3,3,77,81.77641113,0.341070878,4.287189169,4.110868188,6.379311111,6.229585218,2124.765225
10715,6,3,73,77.80606197,-4.648890983,-0.57966038,2.004176948,5.819524368,6.051848135,2218.437013
10716,4,3,72,89.16764739,-5.13049291,8.67848125,-1.918257051,5.832286997,6.339731031,2250.601696
10717,4,3,72,92.09810134,-7.355128432,10.99658665,-1.8090148,5.887199291,6.068360559,2337.104568
10718,6,3,73,76.94198683,-4.523791573,-2.362427988,2.098102994,5.792340579,6.080329333,2138.3449
10719,4,3,72,86.43966661,-7.173983494,0.338375542,-1.918873591,5.744150141,6.225080814,1341.455376
10720,6,3,73,91.55365004,7.139886997,7.137403209,2.203505542,5.867301959,6.576798115,2019.362492
10721,6,3,73,91.89389734,3.431906776,9.688863413,2.245344249,6.049718588,6.059502335,2128.099451
10722,3,3,77,87.19295135,3.394368489,5.951686188,4.20498799,6.430609877,6.390247789,2140.071652
10723,2,3,80,87.92462523,-6.846365969,7.364779547,-2.002811036,5.782972137,6.396236468,2257.556227
10724,2,3,80,88.37083325,-3.340338827,8.857589592,-2.156814409,5.825043639,6.292342795,2201.48198
10725,4,3,72,85.9359524,5.484307218,2.024472337,-1.835497562,5.897675137,6.301723397,2584.692805
10726,3,3,77,85.11076442,12.4848115,3.831919796,4.489103639,6.474607036,6.339541448,2028.407666
10727,2,3,80,88.88575453,-4.107149666,9.101694344,-2.7084475,5.754771603,6.263956088,2146.230973
10728,2,3,80,88.80018857,-3.604461637,6.320496741,-1.647243497,5.93155359,6.313239844,2078.122764
10729,4,3,72,81.32095391,7.797139523,-4.275599866,-1.613367549,5.845133136,6.348116532,2775.003466
10730,2,3,80,87.89524435,-2.0870919,11.23964049,-1.916825258,6.191955765,6.459713249,2312.595247
10731,3,3,77,81.65923953,2.677050088,4.419943241,4.009885299,6.460046987,6.562471145,2203.96943
10732,6,3,73,92.30641026,6.439076137,7.543885526,2.160246537,6.059213986,5.976459532,1903.343795
10733,5,3,72,92.47973486,-3.309685329,9.967640471,-0.687344316,6.092694087,6.043671796,1868.108568
10734,4,3,72,92.44745161,-5.158397929,12.02831875,-2.138308968,5.837856268,6.202985688,2373.815706
10735,1,3,76,85.90641805,-7.038945609,2.985155541,-2.08993764,6.135934645,6.129714493,2259.349109
10736,5,3,72,81.72779464,-0.77033388,3.905129954,-0.972365112,6.163961302,6.049799682,989.9156453
10737,1,3,76,87.99794997,-7.042097013,3.100581305,-2.010438103,6.332966266,6.173825989,2090.986888
10738,3,3,77,87.5117152,6.477806819,11.78128151,3.861405196,6.54079578,6.318889998,2211.221703
10739,2,3,80,87.50539158,-5.473341342,4.18051263,-2.389017394,5.589424422,6.43877691,2125.76996
10740,4,3,72,86.28554516,2.096185669,5.639413023,-1.940089518,5.801850689,5.963568032,2364.735326
10741,6,3,73,92.02571628,3.82575147,10.49792532,2.084230993,6.00009978,6.48267396,2038.327081
10742,2,3,80,74.30971041,6.8638765,-4.628217314,-1.846292471,6.122468073,6.331452814,2511.639696
10743,4,3,72,93.64215003,-4.997881423,10.82199585,-2.062315453,5.948450161,5.819689289,2370.535884
10744,4,3,72,93.36201305,-10.58243228,5.451269383,-1.939862884,5.902883951,6.281360252,2160.972659
10745,4,3,72,92.71468586,-7.753456323,10.76323635,-2.210302669,5.818005707,6.01930508,2394.506495
10746,5,3,72,92.50899218,-4.845684987,11.73826447,-0.862225861,6.055584485,6.307129676,1924.412972
10747,6,3,73,75.45858735,-8.694740442,-3.017552758,2.217286908,5.875357791,6.341030699,2216.991978
10748,1,3,76,77.05654277,3.269438102,-7.736958695,-1.750539209,6.346084316,6.141195793,2849.137032
10749,4,3,72,85.23883842,-8.734404343,5.998407281,-2.337019787,5.736290097,5.997263597,1434.980478
10750,3,3,77,88.75374483,7.91714579,10.4363824,4.097487575,6.640989016,6.293603189,2215.09128
10751,1,3,76,90.10257676,-3.618227964,8.28926674,-1.265656091,6.496969561,6.297190562,2318.661743
10752,3,3,77,79.66428242,2.057979168,5.132306464,3.99555961,6.543858292,6.509517231,1996.73348
10753,2,3,80,89.60934751,-3.182557551,11.90631864,-2.301574031,5.986857428,6.364883943,2191.639011
10754,2,3,80,87.29732036,-8.199366642,7.724794641,-2.223756535,5.629381905,6.349689298,2164.164839
10755,2,3,80,87.43530566,-2.086394072,7.705200974,-2.261824698,5.730339962,6.369910161,2280.22381
10756,4,3,72,86.31204548,2.737009525,4.770448998,-1.90248734,6.023624423,6.095807742,2505.209835
10757,2,3,80,89.6239777,-0.390552978,8.274310866,-2.642991562,6.023067485,6.051794957,2297.90893
10758,5,3,72,70.82383494,-0.198008488,-7.703874028,-1.479648253,5.620693796,5.922712798,1984.606217
10759,1,3,76,81.34579921,-6.419633778,0.654637721,-1.516859899,6.56069823,5.930569318,1492.921907
10760,2,3,80,85.61586148,-6.740436744,8.028041617,-2.583811629,5.688142013,6.425327576,2051.602739
10761,6,3,73,91.80407126,4.515774813,6.872039504,2.012754014,5.904624619,6.264244439,1972.096629
10762,2,3,80,91.11486339,0.347592852,8.298721609,-2.146197673,6.0680856,6.151962566,2181.654599
10763,2,3,80,89.64937573,-0.517644341,9.565594912,-2.181786551,6.143449906,6.597461101,2176.685846
10764,1,3,76,80.60319085,-7.731323884,0.532498708,-1.65967827,6.462997845,6.1755807,1559.347482
10765,5,3,72,89.11227934,-3.660859427,10.33211993,-1.340881118,5.83898828,6.423828368,2040.947206
10766,3,3,77,85.68902267,3.016735402,10.83337631,4.149720498,6.370601792,6.270115468,2279.823802
10767,2,3,80,90.76015749,-6.123356438,7.852218553,-2.079487265,5.857084631,6.093986676,2400.367042
10768,4,3,72,86.73869133,1.991172895,2.392350456,-1.921406831,5.990152866,6.131972612,2624.109438
10769,2,3,80,79.2924592,-4.49340472,4.817077383,-2.445001652,5.647785157,6.205141505,1505.384479
10770,1,3,76,87.30341552,-2.929668909,8.388293825,-1.25163012,6.687451591,6.378388052,2126.002408
10771,3,3,77,84.14394115,1.722299373,3.562820582,3.886450212,6.517061385,6.002427188,2213.785434
10772,6,3,73,90.54980255,10.01524597,6.852930013,2.036806761,6.009602986,6.158666421,2009.659195
10773,6,3,73,90.980211,7.080446449,7.107105255,1.858713659,6.046621084,5.977510508,2065.807232
10774,6,3,73,91.88634229,5.752505325,8.455583308,2.158685945,5.931688883,6.269657183,2007.586213
10775,5,3,72,73.20586699,6.34751514,-8.787964129,-1.103439881,5.982990976,6.177442107,2285.45307
10776,5,3,72,90.09406592,-9.719358297,9.301946224,-1.739752964,5.897759097,6.122361003,2002.614091
10777,2,3,80,88.26371385,-0.735886597,9.30439602,-2.342168491,5.994287102,6.249951959,2159.050127
10778,5,3,72,90.79052061,-1.503714015,10.40662925,-0.951186537,5.912755199,6.466705898,1929.034065
10779,6,3,73,75.56083052,-5.847395146,0.482437722,2.275805322,6.000383554,6.040799056,2095.585499
10780,2,3,80,72.07950832,4.143614521,-8.068261799,-1.963509441,5.814733689,6.02984111,2611.488292
10781,6,3,73,91.32417857,7.55546363,9.867384209,2.048340893,6.11175623,6.374756319,1931.136432
10782,4,3,72,79.29091208,6.163292065,-2.939660249,-1.870100146,5.935202582,6.58719611,2621.880556
10783,3,3,77,86.24761546,4.423976536,11.47089286,3.99051307,6.624897136,6.349108323,2174.276682
10784,4,3,72,89.14726903,0.787176646,2.571593274,-1.956344056,5.741641191,5.935768825,2446.689642
10785,3,3,77,87.49375802,1.840768726,8.971811373,3.886371424,6.626911627,5.992012966,2158.237088
10786,4,3,72,87.22421093,-7.419579198,-0.494014944,-2.318360344,5.627146551,6.296276721,1473.706333
10787,2,3,80,86.99382569,-5.743293751,4.505442617,-2.116610592,5.667807713,6.473927303,2243.942317
10788,1,3,76,85.593182,-6.508044586,1.800052623,-2.210552385,6.075851845,6.08162583,2152.066803
10789,1,3,76,86.30953033,-7.856845326,1.283271273,-2.132767551,6.196979968,6.049021611,2308.660917
10790,1,3,76,77.93452302,4.924081988,-5.495934123,-1.860956604,6.317611827,6.537652606,2924.062406
10791,3,3,77,86.08660433,9.378698818,4.318411112,4.19659746,6.368257144,6.024151337,2175.916949
10792,5,3,72,90.97075006,-2.344877084,9.863856629,-0.870110116,5.955841288,6.09009982,2042.387135
10793,3,3,77,85.8685054,3.141941165,7.641435343,4.08760862,6.538835763,5.981965443,1982.51452
10794,2,3,80,76.10007013,5.987049986,-3.164829029,-2.448249792,5.714445238,6.286600735,2490.264565
10795,6,3,73,91.70145279,3.943176751,11.52379435,2.045547251,6.008224866,6.212691277,2024.62645
10796,6,3,73,91.89000428,8.513707354,8.126608893,1.87204147,5.908420252,6.054228414,2080.329753
10797,6,3,73,90.94985363,4.151126402,9.752554997,2.141196111,5.89738625,6.209960927,1939.689412
10798,1,3,76,82.26511519,0.880113366,1.962483859,-2.461082075,5.877886842,6.010575835,2429.239053
10799,3,3,77,81.80940608,-1.835987754,4.557785708,4.242459318,6.363834495,6.213978853,2149.453633
10800,4,3,72,87.33221577,1.917691703,4.758222319,-1.783846309,6.020859902,6.232614327,2484.911546
10801,4,3,72,88.40534425,1.193819415,4.384690178,-1.908474085,5.8728776,6.093990115,2509.769394
10802,1,3,76,77.57128645,6.451001306,-7.043001334,-1.566875976,6.473435916,6.293006664,3019.336048
10803,2,3,80,88.18980884,-2.681330541,10.25681323,-2.279093172,5.911554025,5.915540883,2216.777006
10804,1,3,76,86.29922614,-6.735676211,5.822390601,-2.206756949,6.337056941,6.122501523,2234.935601
10805,4,3,72,87.08426409,3.023545051,1.799135952,-1.773193631,5.945181003,6.275490949,2542.920129
10806,4,3,72,88.23103773,0.693796946,2.941730736,-2.184354881,5.697276374,6.300680021,2421.119349
10807,2,3,80,75.01412704,4.475234809,-7.082971005,-1.866138449,6.024244092,5.787492973,2702.757286
10808,6,3,73,78.10322894,-3.543248284,-0.766221567,2.048810795,5.939940279,6.123297859,2188.130189
10809,3,3,77,82.38490113,1.662232913,3.751474963,3.946559504,6.363262964,6.212191129,2096.148242
10810,3,3,77,86.53239024,8.547878318,3.224532082,4.284210042,6.370274772,6.523867081,2302.712628
10811,4,3,72,91.82427347,-6.535231833,11.68025985,-1.819827286,6.089247457,5.948956688,2455.666597
10812,4,3,72,84.88077224,-7.677094712,5.613405932,-2.133665038,5.685078576,6.2051887,1390.099619
10813,4,3,72,91.87089061,-7.187091247,8.64768239,-2.19441011,5.889236074,6.203236607,2318.498634
